Player,Inns,Runs,Overs,Conc,Wkts,Ct,St,Opposition,Ground,StartDate,Result
SKRaina,1,0,2,13,1,0,0,vPakistan,Kolkata,1/3/2013,no
RAshwin,1,0,4.4,14,1,0,0,vSouthAfrica,Kanpur,10/11/2015,no
VKohli,1,0,2,15,1,1,0,vSouthAfrica,Johannesburg,12/5/2013,no
ARPatel,1,0,10,16,1,0,0,vZimbabwe,Harare,6/15/2016,yes
ATRayudu,1,0,3,16,1,0,0,vSriLanka,Hyderabad(Deccan),11/9/2014,yes
MMSharma,1,0,5,16,1,0,0,vU.A.E.,Perth,2/28/2015,yes
JJBumrah,2,0,5,16,1,0,0,vNewZealand,Visakhapatnam,10/29/2016,yes
DSKulkarni,1,0,6.2,17,1,0,0,vZimbabwe,Harare,6/15/2016,yes
BKumar,1,0,9,18,1,1,0,vSriLanka,Cardiff,6/20/2013,yes
SKRaina,1,0,4,18,1,0,0,vNewZealand,Hamilton,1/22/2014,yes
SKRaina,1,0,5,18,1,0,0,vEngland,Rajkot,1/11/2013,yes
BKumar,1,0,5,19,1,0,0,vU.A.E.,Perth,2/28/2015,yes
SKRaina,1,0,3,19,1,1,0,vSouthAfrica,Mumbai,10/25/2015,yes
RAJadeja,2,0,10,19,1,1,0,vPakistan,Delhi,1/6/2013,yes
MVijay,2,0,3,19,1,0,0,vZimbabwe,Harare,7/14/2015,yes
RAshwin,2,0,5,20,1,0,0,vSriLanka,PortofSpain,7/9/2013,yes
AMishra,1,0,10,21,1,1,0,vAfghanistan,Dhaka,3/5/2014,yes
MMSharma,2,0,5,21,1,1,0,vSouthAfrica,Indore,10/14/2015,yes
ARPatel,1,0,7.3,22,1,0,0,vZimbabwe,Harare,6/13/2016,yes
MohammedShami,1,0,8,23,1,0,0,vEngland,Ranchi,1/19/2013,yes
BKumar,2,0,5,23,1,1,0,vPakistan,Birmingham,6/4/2017,yes
MohammedShami,2,0,9,23,1,0,0,vPakistan,Delhi,1/6/2013,yes
HHPandya,1,0,5.2,24,1,0,0,vSriLanka,Pallekele,8/24/2017,yes
SKRaina,1,0,5,24,1,2,0,vBangladesh,Dhaka,6/15/2014,yes
JDUnadkat,1,0,7,24,1,0,0,vZimbabwe,Harare,7/28/2013,yes
MohammedShami,2,0,4,24,1,0,0,vEngland,Kochi,1/15/2013,yes
SKRaina,2,0,5,24,1,0,0,vSriLanka,Cuttack,11/2/2014,yes
MMSharma,1,0,6,25,1,1,0,vZimbabwe,Bulawayo,8/3/2013,yes
ARPatel,1,0,10,26,1,0,0,vZimbabwe,Harare,6/11/2016,yes
RAJadeja,2,0,7.2,26,1,1,0,vEngland,Dharamsala,1/27/2013,yes
SNThakur,2,0,7,26,1,1,0,vSriLanka,Colombo(RPS),8/31/2017,yes
JJBumrah,1,0,6,27,1,1,0,vZimbabwe,Harare,6/13/2016,yes
YSChahal,1,0,10,27,1,0,0,vZimbabwe,Harare,6/11/2016,yes
KMJadhav,1,0,3,27,1,1,0,vPakistan,TheOval,6/18/2017,yes
MohammedShami,1,0,7,27,1,0,0,vZimbabwe,Bulawayo,8/3/2013,yes
HHPandya,1,0,6,27,1,0,0,vWestIndies,Kingston,7/6/2017,yes
JDUnadkat,1,0,7,27,1,0,0,vZimbabwe,Bulawayo,8/1/2013,yes
STRBinny,1,0,8,28,1,0,0,vSriLanka,Ranchi,11/16/2014,yes
MohammedShami,1,0,6,28,1,0,0,vWestIndies,Kochi,11/21/2013,yes
UTYadav,2,0,4,28,1,0,0,vNewZealand,Visakhapatnam,10/29/2016,yes
UTYadav,2,0,4.4,28,1,0,0,vSriLanka,PortofSpain,7/9/2013,yes
HarbhajanSingh,2,0,10,29,1,0,0,vZimbabwe,Harare,7/12/2015,yes
ARPatel,1,0,10,30,1,1,0,vSriLanka,Pallekele,8/24/2017,yes
RAJadeja,2,0,10,30,1,0,0,vZimbabwe,Harare,7/26/2013,yes
BKumar,2,0,7,30,1,0,0,vEngland,Cardiff,8/27/2014,yes
HHPandya,1,0,5,31,1,1,0,vNewZealand,Ranchi,10/26/2016,yes
RAJadeja,2,0,10,31,1,1,0,vAustralia,Mohali,10/19/2013,yes
MohammedShami,2,0,9,31,1,0,0,vEngland,Perth,1/30/2015,yes
BKumar,1,0,8,32,1,1,0,vWestIndies,TheOval,6/11/2013,yes
SKRaina,1,0,7,32,1,0,0,vEngland,Leeds,9/5/2014,yes
RVinayKumar,1,0,7,32,1,0,0,vZimbabwe,Harare,7/28/2013,yes
RAshwin,2,0,10,32,1,0,0,vBangladesh,Dhaka,6/21/2015,yes
UTYadav,2,0,7,32,1,1,0,vWestIndies,NorthSound,6/30/2017,yes
RAJadeja,1,0,10,33,1,0,0,vSriLanka,Cardiff,6/20/2013,yes
MohammedShami,1,0,8,34,1,0,0,vZimbabwe,Bulawayo,8/1/2013,yes
UTYadav,1,0,4,34,1,3,0,vIreland,Hamilton,3/10/2015,yes
STRBinny,2,0,7,34,1,0,0,vEngland,Brisbane,1/20/2015,yes
RAJadeja,1,0,10,35,1,1,0,vAustralia,Pune,10/13/2013,yes
ARPatel,1,0,10,35,1,0,0,vSriLanka,Pallekele,8/27/2017,yes
MMSharma,1,0,9,35,1,1,0,vWestIndies,Perth,3/6/2015,yes
BKumar,2,0,10,35,1,0,0,vZimbabwe,Harare,7/10/2015,yes
RAshwin,1,0,9,36,1,1,0,vWestIndies,TheOval,6/11/2013,yes
YSChahal,1,0,10,36,1,0,0,vSriLanka,Colombo(RPS),9/3/2017,yes
VKohli,1,0,7,36,1,0,0,vNewZealand,Wellington,1/31/2014,yes
